date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:03	21126/21126	---M--	200	added ('OK')	image/jpeg	etag:%22b22ad160f673cbdf21689564ae448939%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809968_somer35.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724809968_somer35.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:03	19262/19262	---M--	200	added ('OK')	image/jpeg	etag:%224211c6825536ad9b304a82d7c9d8be77%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810019_somer36.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810019_somer36.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:03	24481/24481	---M--	200	added ('OK')	image/jpeg	etag:%223a8ad5fbb963cdf8bae8641a0df2ea77%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810076_somer37.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810076_somer37.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:04	21210/21210	---M--	200	added ('OK')	image/jpeg	etag:%22a3d578eac7daa30f6ef601db0e7d46f1%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810141_somer38.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810141_somer38.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:04	22737/22737	---M--	200	added ('OK')	image/jpeg	etag:%22102da0a3a95c3c22ddfcc115e7c95002%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810206_somer39.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810206_somer39.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:04	148661/148661	---M--	200	added ('OK')	image/jpeg	etag:%22832ed76f3355b308a7d2485831d2ea67%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810274_somer40.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810274_somer40.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:05	1273997/1273997	---M--	200	added ('OK')	image/png	etag:%222bbec163e8a6f3c6a4dc79818be4cf05%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810368_somer41.png	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810368_somer41.png	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:05	1364584/1364584	---M--	200	added ('OK')	image/png	etag:%220ca3559cea4c0091caad84a490ca99bd%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810497_somer42.png	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686724810497_somer42.png	(from https://somervilleinternational.in/photo-gallery.php?gal_id=59)
13:47:05	22071/22071	---M--	200	added ('OK')	image/jpeg	etag:%22db115a820700581dd5677ab5019aed13%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721988619_somer01.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721988619_somer01.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
13:47:06	20213/20213	---M--	200	added ('OK')	image/jpeg	etag:%22bb81e9f188b12cebf042520b9a634847%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721988712_somer02.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721988712_somer02.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
13:47:06	21670/21670	---M--	200	added ('OK')	image/jpeg	etag:%2220fca4e4f719e651b22f0024e3dab670%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721988769_somer03.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721988769_somer03.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
13:47:06	18343/18343	---M--	200	added ('OK')	image/jpeg	etag:%226b9bc3ad8dbe2436e3dfe6d3580d79d9%22	https://edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721988859_somer04.jpg	C:/Users/Lenovo/Desktop/ertrew/er/edunext-main-storage-cf.edunexttechnologies.com/svis/school___static/1686721988859_somer04.jpg	(from https://somervilleinternational.in/photo-gallery.php?gal_id=52)
